id	date	time	comp	p1	file	gender	age	adult
102	-	-	-	soc_comp_MRT_p102_20141014_16.68	results_scanner_1021710	1	k	1
103	-	-	-	soc_comp_MRT_p103_20141014_16.63	results_scanner_103178	1	k	2
104	-	-	-	soc_comp_MRT_p104_20141015_16.41	results_scanner_1041652	1	k	1
105	-	-	-	soc_comp_MRT_p105_20141015_16.46	results_scanner_105170	1	k	2
106	-	-	-	soc_comp_MRT_p106_20141015_16.37	results_scanner_1061650	1	k	1
107	-	-	-	soc_comp_MRT_p107_20141015_16.54	results_scanner_1071659	1	k	2
108	-	-	-	soc_comp_MRT_p108_20141016_15.13	results_scanner_1081532	1	k	2
109	-	-	-	soc_comp_MRT_p109_20141016_15.05	results_scanner_1091525	1	k	1
110	-	-	-	soc_comp_MRT_p110_20141016_16.26	results_scanner_1101650	1	k	1
111	-	-	-	soc_comp_MRT_p111_20141016_16.18	results_scanner_1111645	1	k	2
201	-	-	-	soc_comp_MRT_p201_2014106_14.78	results_scanner_2011512	2	k	1
202	-	-	-	soc_comp_MRT_p202_2014106_14.69	results_scanner_202157	2	k	2
203	-	-	-	soc_comp_MRT_p203_20141010_14.66	results_scanner_203154	2	k	2
204	-	-	-	soc_comp_MRT_p204_20141010_14.56	results_scanner_2041458	2	k	1
205	-	-	-	soc_comp_MRT_p205_20141014_16.63	results_scanner_205174	2	k	2
206	-	-	-	soc_comp_MRT_p206_20141014_16.79	results_scanner_2061713	2	k	1
207	-	-	-	soc_comp_MRT_p207_20141015_14.75	results_scanner_207158	2	k	2
208	-	-	-	soc_comp_MRT_p208_20141015_14.67	results_scanner_208152	2	k	1
209	-	-	-	soc_comp_MRT_p209_20141016_16.37	results_scanner_2091647	2	k	2
210	-	-	-	soc_comp_MRT_p210_20141016_16.24	results_scanner_2101640	2	k	1
401	-	-	-	soc_comp_MRT_p401_2014114_16.56	results_scanner_4011657	1	a	2
402	-	-	-	soc_comp_MRT_p402_2014114_16.48	results_scanner_4021651	1	a	1
403	-	-	-	soc_comp_MRT_p403_20141112_16.24	results_scanner_4031637	1	a	2
404	-	-	-	soc_comp_MRT_p404_20141112_16.1	results_scanner_4041631	1	a	1
405	-	-	-	soc_comp_MRT_p405_20141112_16.15	results_scanner_4051636	1	a	2
406	-	-	-	soc_comp_MRT_p406_20141112_16.07	results_scanner_4061630	1	a	1
407	-	-	-	soc_comp_MRT_p407_20141118_15.79	results_scanner_407168	1	a	1
408	-	-	-	soc_comp_MRT_p408_20141118_15.88	results_scanner_4081614	1	a	2
409	-	-	-	soc_comp_MRT_p409_20141125_16.8	results_scanner_4091711	1	a	1
410	-	-	-	soc_comp_MRT_p410_20141125_16.7	results_scanner_410174	1	a	2
501	-	-	-	soc_comp_MRT_p501_20141124_15.89	results_scanner_5011616	2	a	1
502	-	-	-	soc_comp_MRT_p502_20141124_15.76	results_scanner_5021610	2	a	2
503	-	-	-	soc_comp_MRT_p503_20141124_15.8	results_scanner_5031616	2	a	2
504	-	-	-	soc_comp_MRT_p504_20141124_15.72	results_scanner_5041610	2	a	1
505	-	-	-	soc_comp_MRT_p505_20141125_16.78	results_scanner_505178	2	a	2
506	-	-	-	soc_comp_MRT_p506_20141125_16.68	results_scanner_506173	2	a	1
507	-	-	-	soc_comp_MRT_p507_20141126_16.09	results_scanner_5071626	2	a	1
508	-	-	-	soc_comp_MRT_p508_20141126_16.18	results_scanner_5081633	2	a	2
